op_index,op_type,input_shape,weight_shape,output_shape,input_scale,input_zp,weight_scale,weight_zp,output_scale,output_zp,param_count,macs,injection_candidate
14,PAD,"[1, 44, 44, 80]",,"[1, 46, 46, 80]",0.023098120465874672,-128,,,0.023098120465874672,-128,,,False
15,DEPTHWISE_CONV_2D,"[1, 46, 46, 80]","[1, 3, 3, 80]","[1, 44, 44, 80]",0.023098120465874672,-128,0.019313247874379158,0,0.02313443459570408,-128,720,1393920,True
16,PAD,"[1, 44, 44, 80]",,"[1, 44, 44, 80]",0.02313443459570408,-128,,,0.02313443459570408,-128,,,False
17,CONV_2D,"[1, 44, 44, 80]","[16, 1, 1, 80]","[1, 44, 44, 16]",0.02313443459570408,-128,0.0124275553971529,0,0.07058085501194,0,1280,2478080,True
18,ADD,"[1, 44, 44, 16]",,"[1, 44, 44, 16]",0.07058085501194,0,,,0.06555090844631195,0,,,False
19,PAD,"[1, 44, 44, 16]",,"[1, 44, 44, 16]",0.06555090844631195,0,,,0.06555090844631195,0,,,False
20,CONV_2D,"[1, 44, 44, 16]","[80, 1, 1, 16]","[1, 44, 44, 80]",0.06555090844631195,0,0.0006406166939996183,0,0.00820219423621893,-128,1280,2478080,True
21,PAD,"[1, 44, 44, 80]",,"[1, 50, 50, 80]",0.00820219423621893,-128,,,0.00820219423621893,-128,,,False
22,DEPTHWISE_CONV_2D,"[1, 50, 50, 80]","[1, 7, 7, 80]","[1, 44, 44, 80]",0.00820219423621893,-128,0.034563928842544556,0,0.012282091192901134,-128,3920,7589120,True
23,PAD,"[1, 44, 44, 80]",,"[1, 44, 44, 80]",0.012282091192901134,-128,,,0.012282091192901134,-128,,,False
24,CONV_2D,"[1, 44, 44, 80]","[16, 1, 1, 80]","[1, 44, 44, 16]",0.012282091192901134,-128,0.009862701408565044,0,0.021758602932095528,0,1280,2478080,True
25,ADD,"[1, 44, 44, 16]",,"[1, 44, 44, 16]",0.021758602932095528,0,,,0.1004064679145813,0,,,False
26,PAD,"[1, 44, 44, 16]",,"[1, 44, 44, 16]",0.1004064679145813,0,,,0.1004064679145813,0,,,False
27,CONV_2D,"[1, 44, 44, 16]","[64, 1, 1, 16]","[1, 44, 44, 64]",0.1004064679145813,0,0.0008711096015758812,0,0.009756436571478844,-128,1024,1982464,True
28,PAD,"[1, 44, 44, 64]",,"[1, 48, 48, 64]",0.009756436571478844,-128,,,0.009756436571478844,-128,,,False
29,DEPTHWISE_CONV_2D,"[1, 48, 48, 64]","[1, 5, 5, 64]","[1, 44, 44, 64]",0.009756436571478844,-128,0.02921036072075367,0,0.013679337687790394,-128,1600,3097600,True
30,PAD,"[1, 44, 44, 64]",,"[1, 44, 44, 64]",0.013679337687790394,-128,,,0.013679337687790394,-128,,,False
31,CONV_2D,"[1, 44, 44, 64]","[16, 1, 1, 64]","[1, 44, 44, 16]",0.013679337687790394,-128,0.012365102767944336,0,0.013444670476019382,0,1024,1982464,True
32,ADD,"[1, 44, 44, 16]",,"[1, 44, 44, 16]",0.013444670476019382,0,,,0.14225490391254425,0,,,False
33,PAD,"[1, 44, 44, 16]",,"[1, 44, 44, 16]",0.14225490391254425,0,,,0.14225490391254425,0,,,False
